GUEST_ACTIVITY_DATE,TRIP_TYPE,PROPERTY_CD,OTHER_TIME_PLAYED_IN_MIN
10-08-2020,PROPERTY,TAH,0
11-08-2020,PROPERTY,TAH,0
11-08-2020,ENTERPRISE,,0
11-08-2020,PROPERTY,HLT,0
11-08-2020,MARKET,,0
12-08-2020,PROPERTY,TAH,0
12-08-2020,MARKET,,0
12-08-2020,ENTERPRISE,,0
12-08-2020,PROPERTY,HLT,0
13-08-2020,MARKET,,0
13-08-2020,PROPERTY,TAH,0
13-08-2020,PROPERTY,HLT,0
13-08-2020,ENTERPRISE,,0
14-08-2020,ENTERPRISE,,0
14-08-2020,MARKET,,0
14-08-2020,PROPERTY,TAH,0
14-08-2020,PROPERTY,HLT,0
15-08-2020,PROPERTY,HLT,0
15-08-2020,MARKET,,0
15-08-2020,PROPERTY,TAH,0
15-08-2020,ENTERPRISE,,0
16-08-2020,ENTERPRISE,,0
16-08-2020,PROPERTY,TAH,0
16-08-2020,MARKET,,0
16-08-2020,PROPERTY,HLT,0
17-08-2020,MARKET,,0
17-08-2020,PROPERTY,HLT,0
17-08-2020,ENTERPRISE,,0
17-08-2020,PROPERTY,TAH,0
18-08-2020,MARKET,,0
18-08-2020,PROPERTY,HLT,0
18-08-2020,PROPERTY,TAH,0
18-08-2020,ENTERPRISE,,0
19-08-2020,MARKET,,0
19-08-2020,PROPERTY,TAH,0
19-08-2020,ENTERPRISE,,0
19-08-2020,PROPERTY,HLT,0
20-08-2020,PROPERTY,HLT,60
20-08-2020,ENTERPRISE,,60
20-08-2020,PROPERTY,TAH,0
20-08-2020,MARKET,,60
21-08-2020,MARKET,,0
21-08-2020,ENTERPRISE,,0
21-08-2020,PROPERTY,TAH,0
21-08-2020,PROPERTY,HLT,0
22-08-2020,ENTERPRISE,,60
22-08-2020,MARKET,,60
22-08-2020,PROPERTY,TAH,0
22-08-2020,PROPERTY,HLT,60
23-08-2020,PROPERTY,HLT,0
23-08-2020,PROPERTY,TAH,0
23-08-2020,ENTERPRISE,,0
23-08-2020,MARKET,,0
24-08-2020,ENTERPRISE,,0
24-08-2020,PROPERTY,TAH,0
24-08-2020,PROPERTY,HLT,0
24-08-2020,MARKET,,0
25-08-2020,MARKET,,0
25-08-2020,PROPERTY,HLT,0
25-08-2020,PROPERTY,TAH,0
25-08-2020,ENTERPRISE,,0
26-08-2020,MARKET,,0
26-08-2020,ENTERPRISE,,0
26-08-2020,PROPERTY,HLT,0
26-08-2020,PROPERTY,TAH,0
27-08-2020,MARKET,,0
27-08-2020,PROPERTY,TAH,0
27-08-2020,ENTERPRISE,,0
27-08-2020,PROPERTY,HLT,0
28-08-2020,ENTERPRISE,,0
28-08-2020,MARKET,,0
28-08-2020,PROPERTY,HLT,0
28-08-2020,PROPERTY,TAH,0
29-08-2020,MARKET,,0
29-08-2020,ENTERPRISE,,0
29-08-2020,PROPERTY,HLT,0
29-08-2020,PROPERTY,TAH,0
30-08-2020,MARKET,,0
30-08-2020,PROPERTY,HLT,0
30-08-2020,ENTERPRISE,,0
30-08-2020,PROPERTY,TAH,0
31-08-2020,MARKET,,0
31-08-2020,PROPERTY,HLT,0
31-08-2020,ENTERPRISE,,0
31-08-2020,PROPERTY,TAH,0
01-09-2020,MARKET,,0
01-09-2020,PROPERTY,HLT,0
01-09-2020,ENTERPRISE,,0
01-09-2020,PROPERTY,TAH,0
02-09-2020,PROPERTY,TAH,0
02-09-2020,PROPERTY,HLT,0
02-09-2020,ENTERPRISE,,0
02-09-2020,MARKET,,0
03-09-2020,PROPERTY,TAH,0
03-09-2020,MARKET,,0
03-09-2020,ENTERPRISE,,0
03-09-2020,PROPERTY,HLT,0
04-09-2020,PROPERTY,HLT,0
04-09-2020,ENTERPRISE,,0
04-09-2020,MARKET,,0
04-09-2020,PROPERTY,TAH,0
05-09-2020,PROPERTY,HLT,0
05-09-2020,PROPERTY,TAH,0
05-09-2020,MARKET,,0
05-09-2020,ENTERPRISE,,0
06-09-2020,PROPERTY,HLT,0
06-09-2020,ENTERPRISE,,0
06-09-2020,PROPERTY,TAH,0
06-09-2020,MARKET,,0
07-09-2020,PROPERTY,HLT,0
07-09-2020,PROPERTY,TAH,0
07-09-2020,MARKET,,0
07-09-2020,ENTERPRISE,,0
08-09-2020,ENTERPRISE,,0
08-09-2020,MARKET,,0
08-09-2020,PROPERTY,HLT,0
08-09-2020,PROPERTY,TAH,0
09-09-2020,PROPERTY,HLT,0
09-09-2020,ENTERPRISE,,0
09-09-2020,MARKET,,0
09-09-2020,PROPERTY,TAH,0
10-09-2020,MARKET,,0
10-09-2020,PROPERTY,HLT,0
10-09-2020,PROPERTY,TAH,0
10-09-2020,ENTERPRISE,,0
11-09-2020,MARKET,,0
11-09-2020,ENTERPRISE,,0
11-09-2020,PROPERTY,HLT,0
11-09-2020,PROPERTY,TRW,0
11-09-2020,MARKET,,0
11-09-2020,PROPERTY,TAH,0
12-09-2020,PROPERTY,TRW,0
12-09-2020,MARKET,,0
12-09-2020,ENTERPRISE,,0
13-09-2020,ENTERPRISE,,0
13-09-2020,PROPERTY,TAH,0
13-09-2020,MARKET,,0
13-09-2020,PROPERTY,HLT,0
14-09-2020,PROPERTY,TAH,0
14-09-2020,MARKET,,0
14-09-2020,ENTERPRISE,,0
14-09-2020,PROPERTY,HLT,0
15-09-2020,PROPERTY,TAH,0
15-09-2020,PROPERTY,HLT,0
15-09-2020,ENTERPRISE,,0
15-09-2020,MARKET,,0
16-09-2020,ENTERPRISE,,0
16-09-2020,PROPERTY,HLT,0
16-09-2020,MARKET,,0
16-09-2020,PROPERTY,TAH,0
17-09-2020,MARKET,,0
17-09-2020,PROPERTY,HLT,0
17-09-2020,ENTERPRISE,,0
17-09-2020,PROPERTY,TAH,0
18-09-2020,PROPERTY,TAH,0
18-09-2020,ENTERPRISE,,0
18-09-2020,PROPERTY,HLT,0
18-09-2020,MARKET,,0
19-09-2020,MARKET,,0
19-09-2020,ENTERPRISE,,0
19-09-2020,PROPERTY,TRW,0
20-09-2020,ENTERPRISE,,0
20-09-2020,PROPERTY,TRW,0
20-09-2020,MARKET,,0
20-09-2020,MARKET,,0
20-09-2020,PROPERTY,HLT,0
20-09-2020,PROPERTY,TAH,0
21-09-2020,PROPERTY,HLT,0
21-09-2020,PROPERTY,TAH,0
21-09-2020,ENTERPRISE,,0
21-09-2020,MARKET,,0
22-09-2020,ENTERPRISE,,0
22-09-2020,MARKET,,0
22-09-2020,PROPERTY,TAH,0
22-09-2020,PROPERTY,HLT,0
23-09-2020,MARKET,,0
23-09-2020,PROPERTY,TAH,0
23-09-2020,ENTERPRISE,,0
23-09-2020,PROPERTY,HLT,0
24-09-2020,ENTERPRISE,,0
24-09-2020,PROPERTY,HLT,0
24-09-2020,PROPERTY,TAH,0
24-09-2020,MARKET,,0
25-09-2020,MARKET,,0
25-09-2020,ENTERPRISE,,0
25-09-2020,PROPERTY,TAH,0
25-09-2020,PROPERTY,HLT,0
27-09-2020,MARKET,,0
27-09-2020,ENTERPRISE,,0
27-09-2020,PROPERTY,HLT,0
28-09-2020,PROPERTY,TAH,0
28-09-2020,ENTERPRISE,,0
28-09-2020,PROPERTY,HLT,0
28-09-2020,MARKET,,0
29-09-2020,PROPERTY,HLT,0
29-09-2020,ENTERPRISE,,0
29-09-2020,MARKET,,0
29-09-2020,PROPERTY,TAH,0
30-09-2020,PROPERTY,HLT,0
30-09-2020,MARKET,,0
30-09-2020,ENTERPRISE,,0
30-09-2020,PROPERTY,TAH,0
01-10-2020,PROPERTY,HLT,254
01-10-2020,ENTERPRISE,,254
01-10-2020,MARKET,,254
01-10-2020,PROPERTY,TAH,0
02-10-2020,PROPERTY,TRW,0
02-10-2020,PROPERTY,HLT,0
02-10-2020,MARKET,,0
02-10-2020,PROPERTY,TAH,0
02-10-2020,MARKET,,0
02-10-2020,ENTERPRISE,,0
03-10-2020,ENTERPRISE,,0
03-10-2020,PROPERTY,TRW,0
03-10-2020,MARKET,,0
04-10-2020,PROPERTY,HLT,345
04-10-2020,MARKET,,345
04-10-2020,PROPERTY,TRW,0
04-10-2020,MARKET,,0
04-10-2020,PROPERTY,TAH,0
04-10-2020,ENTERPRISE,,345
05-10-2020,PROPERTY,HLT,0
05-10-2020,MARKET,,0
05-10-2020,PROPERTY,TAH,0
05-10-2020,ENTERPRISE,,0
06-10-2020,MARKET,,0
06-10-2020,PROPERTY,TAH,0
06-10-2020,PROPERTY,HLT,0
06-10-2020,ENTERPRISE,,0
07-10-2020,MARKET,,0
07-10-2020,PROPERTY,HLT,0
07-10-2020,PROPERTY,TAH,0
07-10-2020,ENTERPRISE,,0
08-10-2020,PROPERTY,HLT,49
08-10-2020,MARKET,,49
08-10-2020,PROPERTY,TAH,0
08-10-2020,ENTERPRISE,,49
09-10-2020,PROPERTY,HLT,0
09-10-2020,MARKET,,0
09-10-2020,PROPERTY,TAH,0
09-10-2020,ENTERPRISE,,0
10-10-2020,ENTERPRISE,,0
10-10-2020,MARKET,,0
10-10-2020,PROPERTY,TRW,0
11-10-2020,MARKET,,330
11-10-2020,PROPERTY,TAH,0
11-10-2020,MARKET,,0
11-10-2020,PROPERTY,TRW,0
11-10-2020,PROPERTY,HLT,330
11-10-2020,ENTERPRISE,,330
12-10-2020,PROPERTY,HLT,0
12-10-2020,MARKET,,0
12-10-2020,PROPERTY,TAH,0
12-10-2020,ENTERPRISE,,0
13-10-2020,ENTERPRISE,,0
13-10-2020,PROPERTY,HLT,0
13-10-2020,PROPERTY,TAH,0
13-10-2020,MARKET,,0
14-10-2020,ENTERPRISE,,0
14-10-2020,PROPERTY,HLT,0
14-10-2020,PROPERTY,TAH,0
14-10-2020,MARKET,,0
15-10-2020,MARKET,,127
15-10-2020,PROPERTY,TAH,0
15-10-2020,PROPERTY,HLT,127
15-10-2020,ENTERPRISE,,127
16-10-2020,MARKET,,0
16-10-2020,PROPERTY,TAH,0
16-10-2020,PROPERTY,HLT,0
16-10-2020,ENTERPRISE,,0
17-10-2020,ENTERPRISE,,0
17-10-2020,PROPERTY,TRW,0
17-10-2020,MARKET,,0
18-10-2020,ENTERPRISE,,0
18-10-2020,PROPERTY,TAH,0
18-10-2020,PROPERTY,HLT,0
18-10-2020,MARKET,,0
18-10-2020,MARKET,,0
18-10-2020,PROPERTY,TRW,0
19-10-2020,ENTERPRISE,,0
19-10-2020,MARKET,,0
19-10-2020,PROPERTY,TAH,0
19-10-2020,PROPERTY,HLT,0
20-10-2020,PROPERTY,TAH,0
20-10-2020,PROPERTY,HLT,0
20-10-2020,MARKET,,0
20-10-2020,ENTERPRISE,,0
21-10-2020,MARKET,,0
21-10-2020,PROPERTY,TAH,0
21-10-2020,ENTERPRISE,,0
21-10-2020,PROPERTY,HLT,0
22-10-2020,ENTERPRISE,,331
22-10-2020,MARKET,,331
22-10-2020,PROPERTY,HLT,331
22-10-2020,PROPERTY,TAH,0
23-10-2020,MARKET,,0
23-10-2020,PROPERTY,TAH,0
23-10-2020,PROPERTY,TRW,0
23-10-2020,PROPERTY,HLT,0
23-10-2020,MARKET,,0
23-10-2020,ENTERPRISE,,0
24-10-2020,MARKET,,0
24-10-2020,PROPERTY,TRW,0
24-10-2020,ENTERPRISE,,0
25-10-2020,ENTERPRISE,,242
25-10-2020,PROPERTY,TAH,0
25-10-2020,MARKET,,0
25-10-2020,PROPERTY,TRW,0
25-10-2020,MARKET,,242
25-10-2020,PROPERTY,HLT,242
26-10-2020,PROPERTY,TAH,0
26-10-2020,MARKET,,0
26-10-2020,ENTERPRISE,,0
26-10-2020,PROPERTY,HLT,0
27-10-2020,MARKET,,0
27-10-2020,ENTERPRISE,,0
27-10-2020,PROPERTY,HLT,0
27-10-2020,PROPERTY,TAH,0
28-10-2020,PROPERTY,HLT,0
28-10-2020,PROPERTY,TAH,0
28-10-2020,ENTERPRISE,,0
28-10-2020,MARKET,,0
29-10-2020,PROPERTY,HLT,21
29-10-2020,ENTERPRISE,,21
29-10-2020,PROPERTY,TAH,0
29-10-2020,MARKET,,21
30-10-2020,PROPERTY,TRW,0
30-10-2020,PROPERTY,HLT,0
30-10-2020,PROPERTY,TAH,0
30-10-2020,MARKET,,0
30-10-2020,MARKET,,0
30-10-2020,ENTERPRISE,,0
31-10-2020,MARKET,,0
31-10-2020,ENTERPRISE,,0
31-10-2020,PROPERTY,TRW,0
01-11-2020,MARKET,,0
01-11-2020,PROPERTY,TRW,0
01-11-2020,ENTERPRISE,,0
01-11-2020,PROPERTY,TAH,0
01-11-2020,MARKET,,0
01-11-2020,PROPERTY,HLT,0
02-11-2020,PROPERTY,TAH,0
02-11-2020,MARKET,,0
02-11-2020,ENTERPRISE,,0
02-11-2020,PROPERTY,HLT,0
03-11-2020,PROPERTY,HLT,0
03-11-2020,ENTERPRISE,,0
03-11-2020,MARKET,,0
03-11-2020,PROPERTY,TAH,0
04-11-2020,PROPERTY,TAH,0
04-11-2020,MARKET,,0
04-11-2020,PROPERTY,HLT,0
04-11-2020,ENTERPRISE,,0
05-11-2020,PROPERTY,TAH,0
05-11-2020,ENTERPRISE,,479
05-11-2020,PROPERTY,HLT,479
05-11-2020,MARKET,,479
06-11-2020,MARKET,,0
06-11-2020,PROPERTY,HLT,0
06-11-2020,ENTERPRISE,,0
06-11-2020,PROPERTY,TRW,0
06-11-2020,MARKET,,0
06-11-2020,PROPERTY,TAH,0
07-11-2020,MARKET,,0
07-11-2020,PROPERTY,TRW,0
07-11-2020,ENTERPRISE,,0
08-11-2020,ENTERPRISE,,0
08-11-2020,PROPERTY,TAH,0
08-11-2020,PROPERTY,HLT,0
08-11-2020,MARKET,,0
09-11-2020,ENTERPRISE,,0
09-11-2020,PROPERTY,HLT,0
09-11-2020,PROPERTY,TAH,0
09-11-2020,MARKET,,0
10-11-2020,PROPERTY,TAH,0
10-11-2020,MARKET,,0
10-11-2020,ENTERPRISE,,0
10-11-2020,PROPERTY,HLT,0
11-11-2020,ENTERPRISE,,0
11-11-2020,PROPERTY,HLT,0
11-11-2020,MARKET,,0
11-11-2020,PROPERTY,TAH,0
12-11-2020,PROPERTY,HLT,167
12-11-2020,PROPERTY,TAH,0
12-11-2020,ENTERPRISE,,167
12-11-2020,MARKET,,167
13-11-2020,PROPERTY,TAH,0
13-11-2020,MARKET,,0
13-11-2020,PROPERTY,HLT,0
13-11-2020,ENTERPRISE,,0
14-11-2020,MARKET,,0
14-11-2020,PROPERTY,TRW,0
14-11-2020,ENTERPRISE,,0
15-11-2020,ENTERPRISE,,350
15-11-2020,MARKET,,350
15-11-2020,PROPERTY,HLT,350
15-11-2020,PROPERTY,TAH,0
16-11-2020,MARKET,,0
16-11-2020,PROPERTY,TAH,0
16-11-2020,ENTERPRISE,,0
18-11-2020,PROPERTY,CLV,0
18-11-2020,MARKET,,0
18-11-2020,ENTERPRISE,,0
18-11-2020,PROPERTY,LAS,0
25-11-2020,MARKET,,47
25-11-2020,ENTERPRISE,,47
25-11-2020,PROPERTY,NOR,47
26-11-2020,MARKET,,0
26-11-2020,PROPERTY,NOR,0
26-11-2020,ENTERPRISE,,0
29-11-2020,PROPERTY,GBI,0
29-11-2020,ENTERPRISE,,0
29-11-2020,MARKET,,0
30-11-2020,PROPERTY,GBI,0
30-11-2020,ENTERPRISE,,0
30-11-2020,MARKET,,0
01-12-2020,PROPERTY,GBI,0
01-12-2020,ENTERPRISE,,0
01-12-2020,MARKET,,0
02-12-2020,ENTERPRISE,,0
02-12-2020,PROPERTY,GBI,0
02-12-2020,MARKET,,0
03-12-2020,MARKET,,0
03-12-2020,PROPERTY,GBI,0
03-12-2020,ENTERPRISE,,0
04-12-2020,MARKET,,0
04-12-2020,ENTERPRISE,,0
04-12-2020,PROPERTY,GBI,0
14-12-2020,PROPERTY,GBI,0
14-12-2020,MARKET,,0
14-12-2020,ENTERPRISE,,0
15-12-2020,PROPERTY,GBI,0
15-12-2020,MARKET,,0
15-12-2020,ENTERPRISE,,0
16-12-2020,ENTERPRISE,,0
16-12-2020,MARKET,,0
16-12-2020,PROPERTY,GBI,0
17-12-2020,ENTERPRISE,,0
17-12-2020,MARKET,,0
17-12-2020,PROPERTY,GBI,0
21-12-2020,MARKET,,0
21-12-2020,ENTERPRISE,,0
21-12-2020,PROPERTY,GBI,0
22-12-2020,MARKET,,0
22-12-2020,PROPERTY,GBI,0
22-12-2020,ENTERPRISE,,0
23-12-2020,PROPERTY,GBI,0
23-12-2020,ENTERPRISE,,0
23-12-2020,MARKET,,0
30-12-2020,PROPERTY,GBI,0
30-12-2020,ENTERPRISE,,0
30-12-2020,MARKET,,0
06-01-2021,PROPERTY,GBI,0
06-01-2021,MARKET,,0
06-01-2021,ENTERPRISE,,0
07-01-2021,PROPERTY,GBI,0
07-01-2021,MARKET,,0
07-01-2021,ENTERPRISE,,0
08-01-2021,PROPERTY,GBI,0
08-01-2021,MARKET,,0
08-01-2021,ENTERPRISE,,0
09-01-2021,MARKET,,0
09-01-2021,ENTERPRISE,,0
09-01-2021,PROPERTY,GBI,0
15-01-2021,PROPERTY,GBI,0
15-01-2021,MARKET,,0
15-01-2021,ENTERPRISE,,0
16-01-2021,PROPERTY,GBI,0
16-01-2021,ENTERPRISE,,0
16-01-2021,MARKET,,0
17-01-2021,ENTERPRISE,,0
17-01-2021,MARKET,,0
17-01-2021,PROPERTY,GBI,0
18-01-2021,MARKET,,0
18-01-2021,ENTERPRISE,,0
18-01-2021,PROPERTY,GBI,0
19-01-2021,ENTERPRISE,,0
19-01-2021,PROPERTY,GBI,0
19-01-2021,MARKET,,0
20-01-2021,MARKET,,0
20-01-2021,ENTERPRISE,,0
20-01-2021,PROPERTY,GBI,0
21-01-2021,ENTERPRISE,,0
21-01-2021,MARKET,,0
21-01-2021,PROPERTY,GBI,0
22-01-2021,ENTERPRISE,,0
22-01-2021,MARKET,,0
22-01-2021,PROPERTY,GBI,0
29-01-2021,MARKET,,0
29-01-2021,PROPERTY,GBI,0
29-01-2021,ENTERPRISE,,0
30-01-2021,MARKET,,0
30-01-2021,PROPERTY,GBI,0
30-01-2021,ENTERPRISE,,0
31-01-2021,PROPERTY,NOR,150
31-01-2021,MARKET,,150
31-01-2021,ENTERPRISE,,150
01-02-2021,PROPERTY,GBI,0
01-02-2021,ENTERPRISE,,0
01-02-2021,MARKET,,0
02-02-2021,MARKET,,0
02-02-2021,ENTERPRISE,,0
02-02-2021,PROPERTY,GBI,0
03-02-2021,MARKET,,0
03-02-2021,ENTERPRISE,,0
03-02-2021,PROPERTY,GBI,0
04-02-2021,PROPERTY,GBI,0
04-02-2021,ENTERPRISE,,0
04-02-2021,MARKET,,0
05-02-2021,MARKET,,0
05-02-2021,PROPERTY,GBI,0
05-02-2021,ENTERPRISE,,0
11-02-2021,MARKET,,0
11-02-2021,PROPERTY,GBI,0
11-02-2021,ENTERPRISE,,0
12-02-2021,PROPERTY,GBI,0
12-02-2021,ENTERPRISE,,0
12-02-2021,MARKET,,0
15-02-2021,MARKET,,0
15-02-2021,PROPERTY,GBI,0
15-02-2021,ENTERPRISE,,0
16-02-2021,MARKET,,0
16-02-2021,PROPERTY,GBI,0
16-02-2021,ENTERPRISE,,0
17-02-2021,MARKET,,0
17-02-2021,PROPERTY,GBI,0
17-02-2021,ENTERPRISE,,0
18-02-2021,MARKET,,0
18-02-2021,PROPERTY,GBI,0
18-02-2021,ENTERPRISE,,0
19-02-2021,MARKET,,0
19-02-2021,PROPERTY,GBI,0
19-02-2021,ENTERPRISE,,0
24-02-2021,PROPERTY,GBI,0
24-02-2021,ENTERPRISE,,0
24-02-2021,MARKET,,0
25-02-2021,PROPERTY,GBI,0
25-02-2021,MARKET,,0
25-02-2021,ENTERPRISE,,0
26-02-2021,PROPERTY,GBI,0
26-02-2021,MARKET,,0
26-02-2021,ENTERPRISE,,0
27-02-2021,ENTERPRISE,,0
27-02-2021,PROPERTY,GBI,0
27-02-2021,MARKET,,0
01-03-2021,ENTERPRISE,,0
01-03-2021,MARKET,,0
01-03-2021,PROPERTY,GBI,0
02-03-2021,MARKET,,0
02-03-2021,PROPERTY,GBI,0
02-03-2021,ENTERPRISE,,0
03-03-2021,MARKET,,0
03-03-2021,PROPERTY,GBI,0
03-03-2021,ENTERPRISE,,0
04-03-2021,MARKET,,0
04-03-2021,PROPERTY,GBI,0
04-03-2021,ENTERPRISE,,0
11-03-2021,ENTERPRISE,,0
11-03-2021,MARKET,,0
11-03-2021,PROPERTY,GBI,0
12-03-2021,PROPERTY,NOR,181
12-03-2021,ENTERPRISE,,181
12-03-2021,PROPERTY,GBI,0
12-03-2021,MARKET,,0
12-03-2021,MARKET,,181
13-03-2021,MARKET,,280
13-03-2021,PROPERTY,NOR,280
13-03-2021,ENTERPRISE,,280
15-03-2021,MARKET,,0
15-03-2021,ENTERPRISE,,0
15-03-2021,PROPERTY,GBI,0
19-03-2021,ENTERPRISE,,0
19-03-2021,MARKET,,0
19-03-2021,PROPERTY,GBI,0
20-03-2021,PROPERTY,NOR,278
20-03-2021,ENTERPRISE,,278
20-03-2021,MARKET,,0
20-03-2021,PROPERTY,GBI,0
20-03-2021,MARKET,,278
21-03-2021,ENTERPRISE,,125
21-03-2021,MARKET,,125
21-03-2021,PROPERTY,NOR,125
22-03-2021,PROPERTY,NOR,0
22-03-2021,ENTERPRISE,,0
22-03-2021,MARKET,,0
30-03-2021,ENTERPRISE,,0
30-03-2021,PROPERTY,LAS,0
30-03-2021,MARKET,,0
31-03-2021,PROPERTY,BLV,0
31-03-2021,PROPERTY,FLV,0
31-03-2021,ENTERPRISE,,0
31-03-2021,PROPERTY,LAS,0
31-03-2021,MARKET,,0
31-03-2021,PROPERTY,ILV,0
01-04-2021,MARKET,,0
01-04-2021,PROPERTY,LAS,0
01-04-2021,ENTERPRISE,,0
01-04-2021,PROPERTY,ILV,0
01-04-2021,PROPERTY,FLV,0
01-04-2021,PROPERTY,DLV,0
02-04-2021,MARKET,,0
02-04-2021,PROPERTY,DLV,0
02-04-2021,PROPERTY,PLV,0
02-04-2021,PROPERTY,ILV,0
02-04-2021,PROPERTY,BLV,0
02-04-2021,PROPERTY,FLV,0
02-04-2021,PROPERTY,LAS,0
02-04-2021,ENTERPRISE,,0
02-04-2021,PROPERTY,CLV,0
03-04-2021,PROPERTY,PLV,0
03-04-2021,PROPERTY,LAS,0
03-04-2021,ENTERPRISE,,0
03-04-2021,PROPERTY,BLV,0
03-04-2021,PROPERTY,ILV,0
03-04-2021,PROPERTY,DLV,0
03-04-2021,PROPERTY,FLV,0
03-04-2021,MARKET,,0
04-04-2021,PROPERTY,LAS,0
04-04-2021,PROPERTY,ILV,0
04-04-2021,PROPERTY,FLV,0
04-04-2021,ENTERPRISE,,147
04-04-2021,PROPERTY,LAU,147
04-04-2021,PROPERTY,DLV,0
04-04-2021,MARKET,,0
04-04-2021,PROPERTY,PLV,0
04-04-2021,PROPERTY,BLV,0
04-04-2021,MARKET,,147
05-04-2021,PROPERTY,LAU,0
05-04-2021,ENTERPRISE,,0
05-04-2021,MARKET,,0
06-04-2021,PROPERTY,LAU,0
06-04-2021,ENTERPRISE,,0
06-04-2021,MARKET,,0
07-04-2021,MARKET,,0
07-04-2021,PROPERTY,LAU,0
07-04-2021,ENTERPRISE,,0
02-05-2021,ENTERPRISE,,0
02-05-2021,PROPERTY,DLV,0
02-05-2021,PROPERTY,CLV,0
02-05-2021,PROPERTY,LAS,0
02-05-2021,MARKET,,0
03-05-2021,PROPERTY,CLV,0
03-05-2021,ENTERPRISE,,0
03-05-2021,MARKET,,0
04-05-2021,PROPERTY,LAS,0
04-05-2021,MARKET,,0
04-05-2021,PROPERTY,PLV,0
04-05-2021,PROPERTY,DLV,0
04-05-2021,ENTERPRISE,,0
04-05-2021,PROPERTY,ILV,0
05-05-2021,PROPERTY,ILV,0
05-05-2021,PROPERTY,LAS,0
05-05-2021,PROPERTY,DLV,0
05-05-2021,ENTERPRISE,,0
05-05-2021,MARKET,,0
06-05-2021,PROPERTY,PLV,0
06-05-2021,PROPERTY,ILV,0
06-05-2021,PROPERTY,FLV,0
06-05-2021,MARKET,,0
06-05-2021,PROPERTY,BLV,0
06-05-2021,PROPERTY,DLV,0
06-05-2021,PROPERTY,LAS,0
06-05-2021,ENTERPRISE,,0
07-05-2021,ENTERPRISE,,0
07-05-2021,MARKET,,0
07-05-2021,PROPERTY,PLV,0
07-05-2021,PROPERTY,BLV,0
07-05-2021,PROPERTY,LAS,0
07-05-2021,PROPERTY,DLV,0
07-05-2021,PROPERTY,ILV,0
07-05-2021,PROPERTY,FLV,0
08-05-2021,ENTERPRISE,,0
08-05-2021,PROPERTY,PLV,0
08-05-2021,PROPERTY,BLV,0
08-05-2021,MARKET,,0
09-05-2021,MARKET,,0
09-05-2021,PROPERTY,DLV,0
09-05-2021,PROPERTY,ILV,0
09-05-2021,PROPERTY,FLV,0
09-05-2021,PROPERTY,PLV,0
09-05-2021,ENTERPRISE,,0
13-05-2021,MARKET,,526
13-05-2021,PROPERTY,FLV,66
13-05-2021,PROPERTY,ILV,0
13-05-2021,PROPERTY,PHV,460
13-05-2021,PROPERTY,LAS,0
13-05-2021,PROPERTY,DLV,0
13-05-2021,ENTERPRISE,,526
14-05-2021,PROPERTY,ILV,0
14-05-2021,PROPERTY,LAS,0
14-05-2021,PROPERTY,DLV,0
14-05-2021,MARKET,,0
14-05-2021,PROPERTY,PLV,0
14-05-2021,PROPERTY,FLV,0
14-05-2021,PROPERTY,BLV,0
14-05-2021,ENTERPRISE,,0
15-05-2021,MARKET,,0
15-05-2021,PROPERTY,ILV,0
15-05-2021,PROPERTY,LAS,0
15-05-2021,ENTERPRISE,,0
15-05-2021,PROPERTY,DLV,0
16-05-2021,PROPERTY,DLV,0
16-05-2021,ENTERPRISE,,0
16-05-2021,MARKET,,0
17-05-2021,PROPERTY,FLV,0
17-05-2021,ENTERPRISE,,0
17-05-2021,PROPERTY,ILV,0
17-05-2021,PROPERTY,LAS,0
17-05-2021,MARKET,,0
17-05-2021,PROPERTY,DLV,0
18-05-2021,PROPERTY,CLV,0
18-05-2021,ENTERPRISE,,0
18-05-2021,MARKET,,0
18-05-2021,PROPERTY,FLV,0
18-05-2021,PROPERTY,DLV,0
19-05-2021,PROPERTY,DLV,0
19-05-2021,MARKET,,0
19-05-2021,ENTERPRISE,,0
05-06-2021,PROPERTY,TAH,0
05-06-2021,ENTERPRISE,,74
05-06-2021,PROPERTY,HLT,74
05-06-2021,MARKET,,74
06-06-2021,PROPERTY,TAH,0
06-06-2021,PROPERTY,HLT,191
06-06-2021,ENTERPRISE,,191
06-06-2021,MARKET,,191
07-06-2021,PROPERTY,TAH,0
07-06-2021,PROPERTY,HLT,0
07-06-2021,ENTERPRISE,,0
07-06-2021,MARKET,,0
08-06-2021,PROPERTY,TAH,0
08-06-2021,ENTERPRISE,,0
08-06-2021,MARKET,,0
08-06-2021,PROPERTY,HLT,0
09-06-2021,PROPERTY,TAH,0
09-06-2021,ENTERPRISE,,0
09-06-2021,PROPERTY,HLT,0
09-06-2021,MARKET,,0
10-06-2021,PROPERTY,TAH,0
10-06-2021,MARKET,,0
10-06-2021,ENTERPRISE,,0
10-06-2021,PROPERTY,HLT,0
11-06-2021,PROPERTY,HLT,0
11-06-2021,PROPERTY,TAH,0
11-06-2021,MARKET,,0
11-06-2021,ENTERPRISE,,0
12-06-2021,PROPERTY,HLT,0
12-06-2021,ENTERPRISE,,0
12-06-2021,MARKET,,0
12-06-2021,PROPERTY,TAH,0
13-06-2021,PROPERTY,HLT,130
13-06-2021,PROPERTY,TAH,0
13-06-2021,MARKET,,130
13-06-2021,ENTERPRISE,,130
14-06-2021,ENTERPRISE,,0
14-06-2021,MARKET,,0
14-06-2021,PROPERTY,TAH,0
